sim,seed,horizon,target_portfolio_annual_vol,annual_drift,n_events,tp,fn,fp,tn,true_positive_rate,false_negative_rate,false_positive_rate,true_negative_rate,precision,label_positive_rate,true_drift_event_rate,balanced_accuracy,pt_hit_share,sl_hit_share,vertical_hit_share,avg_time_to_pt,avg_time_to_sl
0,20000,150,0.02,0.9,123000,23616,984,30658,67742,0.96,0.04,0.3115650406504065,0.6884349593495935,0.4351254744444854,0.4412520325203252,0.2,0.8242174796747967,0.4412520325203252,0.22695121951219513,0.33179674796747965,62.53467590374765,81.75554361454415
1,20001,30,0.02,0.1,124500,8229,16671,28465,71135,0.3304819277108434,0.6695180722891566,0.28579317269076304,0.7142068273092369,0.22426009701858615,0.2947309236947791,0.2,0.5223443775100401,0.2947309236947791,0.2625863453815261,0.44268273092369476,16.123099144274267,16.798329866634038
1,20001,60,0.02,0.1,124000,9024,15776,29900,69300,0.3638709677419355,0.6361290322580645,0.3014112903225806,0.6985887096774194,0.23183639913677936,0.31390322580645164,0.2,0.5312298387096774,0.31390322580645164,0.2656612903225806,0.42043548387096774,30.88251464392149,32.94857628559286
1,20001,90,0.02,0.1,124000,9633,15167,30558,68642,0.3884274193548387,0.6115725806451613,0.3080443548387097,0.6919556451612904,0.23968052549078153,0.3241209677419355,0.2,0.5401915322580646,0.3241209677419355,0.26379838709677417,0.41208064516129034,45.38993804583116,49.02243893491486
1,20001,150,0.02,0.1,123000,10446,14154,31270,67130,0.4246341463414634,0.5753658536585365,0.3177845528455285,0.6822154471544716,0.25040751749928086,0.33915447154471545,0.2,0.5534247967479675,0.33915447154471545,0.2599918699186992,0.4008536585365854,73.95752229360437,81.96716595265643
1,20001,30,0.02,0.3,124500,10671,14229,28465,71135,0.42855421686746986,0.5714457831325301,0.28579317269076304,0.7142068273092369,0.27266455437448894,0.3143453815261044,0.2,0.5713805220883534,0.3143453815261044,0.24910040160642571,0.43655421686746987,16.078265535568274,16.778415503176088
1,20001,60,0.02,0.3,124000,12538,12262,29900,69300,0.5055645161290323,0.49443548387096775,0.3014112903225806,0.6985887096774194,0.2954427635609595,0.34224193548387094,0.2,0.6020766129032258,0.34224193548387094,0.24875,0.40900806451612903,30.745369715820726,32.89272167288053
1,20001,90,0.02,0.3,124000,13909,10891,30558,68642,0.5608467741935483,0.4391532258064516,0.3080443548387097,0.6919556451612904,0.3127937571682371,0.3586048387096774,0.2,0.6264012096774194,0.3586048387096774,0.2444193548387097,0.3969758064516129,45.00051723750197,48.98132506268972
1,20001,150,0.02,0.3,123000,15831,8769,31270,67130,0.6435365853658537,0.3564634146341463,0.3177845528455285,0.6822154471544716,0.33610751364089936,0.3829349593495935,0.2,0.6628760162601626,0.3829349593495935,0.23945528455284554,0.377609756097561,72.79813592068109,81.93545649000102
1,20001,30,0.02,0.5,124500,13094,11806,28465,71135,0.525863453815261,0.47413654618473894,0.28579317269076304,0.7142068273092369,0.315070141244977,0.33380722891566267,0.2,0.620035140562249,0.33380722891566267,0.23923694779116467,0.42695582329317266,15.967684496739576,16.757562531475575
